root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
*********** ITER=34 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=0.25 MeanE2=0.934386
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=35 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=0.25 MeanE2=0.928972
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=36 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=0.25 MeanE2=1.08122
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=37 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=0.25 MeanE2=1.06019
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=38 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=0.25 MeanE2=1.21111
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=39 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=0.25 MeanE2=1.24257
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=40 ***********  PID Kp=0 PID Ki=0.001 PID Kd=0.5 MeanE2=1.51386
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=41 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=0.5 MeanE2=1.19924
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=42 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=0.5 MeanE2=0.799986
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=43 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=0.5 MeanE2=1.66835
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=44 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=0.5 MeanE2=1.47645
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=45 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=0.5 MeanE2=1.40352
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=46 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=0.5 MeanE2=1.0204
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=47 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=0.5 MeanE2=1.17942
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=48 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=0.5 MeanE2=1.16354
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=49 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=0.5 MeanE2=1.01806
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=50 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=0.5 MeanE2=0.877217
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=51 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=0.5 MeanE2=0.846569
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=52 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=0.5 MeanE2=0.863035
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=53 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=0.5 MeanE2=0.910589
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=54 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=0.5 MeanE2=1.14914
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
