"Kp", "Kd", "sum(cte^2)/#steps"
0.5 ,2 ,0.376483
0.55 ,2 ,0.36604
0.6 ,2 ,0.677449
0.65 ,2 ,0.701823
0.7 ,2 ,0.722955
0.75 ,2 ,0.966441
0.8 ,2 ,0.64266
0.85 ,2 ,1.08847
0.9 ,2 ,0.799443
0.95 ,2 ,0.596756
0 ,2.25 ,1.53457
0.05 ,2.25 ,0.98569
0.1 ,2.25 ,0.480495
0.15 ,2.25 ,0.255062
0.2 ,2.25 ,0.185792
0.25 ,2.25 ,0.158027
0.3 ,2.25 ,0.141393
0.35 ,2.25 ,0.156504
0.4 ,2.25 ,0.145556
0.45 ,2.25 ,0.144704
0.5 ,2.25 ,0.138489
0.55 ,2.25 ,0.175977
0.6 ,2.25 ,0.697869
0.65 ,2.25 ,0.860697
0.7 ,2.25 ,0.656726
0.75 ,2.25 ,0.525494
0.8 ,2.25 ,0.713572
0.85 ,2.25 ,0.836966
0.9 ,2.25 ,0.764587
0.95 ,2.25 ,0.693744
0 ,2.5 ,0.69914
0.05 ,2.5 ,1.18377
0.1 ,2.5 ,0.455549
0.15 ,2.5 ,0.254954
0.2 ,2.5 ,0.187057
0.25 ,2.5 ,0.152758
0.3 ,2.5 ,0.127256
0.35 ,2.5 ,0.124557
0.4 ,2.5 ,0.118781
0.45 ,2.5 ,0.117273
0.5 ,2.5 ,0.117631
0.55 ,2.5 ,0.159933
0.6 ,2.5 ,0.608193
0.65 ,2.5 ,0.450115
0.7 ,2.5 ,0.366422
0.75 ,2.5 ,0.418484
0.8 ,2.5 ,0.275437
0.85 ,2.5 ,0.649875
0.9 ,2.5 ,0.572441
0.95 ,2.5 ,0.675199
0 ,2.75 ,0.901287
0.05 ,2.75 ,1.17599
0.1 ,2.75 ,0.456162
0.15 ,2.75 ,0.258223
0.2 ,2.75 ,0.177154
0.25 ,2.75 ,0.143302
0.3 ,2.75 ,0.11992
0.35 ,2.75 ,0.106362
0.4 ,2.75 ,0.102481
0.45 ,2.75 ,0.100522
0.5 ,2.75 ,0.0989609
0.55 ,2.75 ,0.104355
0.6 ,2.75 ,0.140501
0.65 ,2.75 ,0.417808
0.7 ,2.75 ,0.385657
0.75 ,2.75 ,0.39929
0.8 ,2.75 ,0.261492
0.85 ,2.75 ,0.31081
0.9 ,2.75 ,0.419387
0.95 ,2.75 ,0.529417
0 ,3 ,1.24529
0.05 ,3 ,1.18417
0.1 ,3 ,0.449567
0.15 ,3 ,0.25769
0.2 ,3 ,0.181357
0.25 ,3 ,0.144051
0.3 ,3 ,0.114591
0.35 ,3 ,0.0982639
0.4 ,3 ,0.0938165
0.45 ,3 ,0.0860458
0.5 ,3 ,0.0872115
0.55 ,3 ,0.0906874
0.6 ,3 ,0.112419
0.65 ,3 ,0.429164
0.7 ,3 ,0.347093
0.75 ,3 ,0.346059
0.8 ,3 ,0.250925
0.85 ,3 ,0.306766
0.9 ,3 ,0.335774
0.95 ,3 ,0.41097
0 ,3.25 ,1.11507
0.05 ,3.25 ,1.17649
0.1 ,3.25 ,0.442418
0.15 ,3.25 ,0.255025
0.2 ,3.25 ,0.177164
0.25 ,3.25 ,0.12962
0.3 ,3.25 ,0.113178
0.35 ,3.25 ,0.096335
0.4 ,3.25 ,0.0894702
0.45 ,3.25 ,0.0830067
0.5 ,3.25 ,0.0794883
0.55 ,3.25 ,0.0790857
0.6 ,3.25 ,0.0999532
0.65 ,3.25 ,0.169456
0.7 ,3.25 ,0.342233
0.75 ,3.25 ,0.420847
0.8 ,3.25 ,0.254546
0.85 ,3.25 ,0.338434
0.9 ,3.25 ,0.265523
0.95 ,3.25 ,0.270093
0 ,3.5 ,1.8159
0.05 ,3.5 ,1.27163
0.1 ,3.5 ,0.431693
0.15 ,3.5 ,0.259293
0.2 ,3.5 ,0.182814
0.25 ,3.5 ,0.129011
0.3 ,3.5 ,0.11169
0.35 ,3.5 ,0.095254
0.4 ,3.5 ,0.0846908
0.45 ,3.5 ,0.0795963
0.5 ,3.5 ,0.0753744
0.55 ,3.5 ,0.0728622
0.6 ,3.5 ,0.0820255
0.65 ,3.5 ,0.111038
0.7 ,3.5 ,0.30029
0.75 ,3.5 ,0.374227
0.8 ,3.5 ,0.293952
0.85 ,3.5 ,0.287372
0.9 ,3.5 ,0.267663
0.95 ,3.5 ,0.230136
0 ,3.75 ,1.59141
0.05 ,3.75 ,0.677276
0.1 ,3.75 ,0.453861
0.15 ,3.75 ,0.249083
0.2 ,3.75 ,0.178741
0.25 ,3.75 ,0.128844
0.3 ,3.75 ,0.111102
0.35 ,3.75 ,0.0908329
0.4 ,3.75 ,0.0825976
0.45 ,3.75 ,0.0766708
0.5 ,3.75 ,0.069845
0.55 ,3.75 ,0.0713581
0.6 ,3.75 ,0.0763948
0.65 ,3.75 ,0.0872106
0.7 ,3.75 ,0.399318
0.75 ,3.75 ,0.405265
0.8 ,3.75 ,0.359684
0.85 ,3.75 ,0.412351
0.9 ,3.75 ,0.324598
0.95 ,3.75 ,0.284321
